#Offered Load (mpps)	avg actual mpps sent	RTT Median (us)	RTT 99th perc.	Avg. CPU Load (cycles)	CPU Load StdDev (cycles)	Interrupts (kHz)
x	load_avg	rtt0	rtt1	rtt2	rtt3	rtt4	cycles_avg	cycles_stderr	rtt_nsamples	nsent	nrecvd	frecvd	irq_avg	irq_stderr	itr_avg	itr_stderr	cycles_per_pkt
1.03515625	1.0356143018867912	4.352	6.9632	9.638399999999999	12.2624	16.48550399999991	0.6425865080859349	0.004099400341169837	197808	110079512	110235756	1.0014193740248412	53.31990526971073	0.04587880865288398	nan	nan	2.0476112321162137	
1.11328125	1.114066877358492	4.352	7.1552	9.792	12.556799999999999	25.20102399999984	0.6669039993470378	0.005384678846652531	197318	118151106	118349966	1.0016830989292644	47.91952405285891	0.02971577414208622	nan	nan	1.975449806984111	
1.19140625	1.1915971428571432	4.4416	8.0128	11.6736	17.5616	40.870400000000004	0.6758120432213709	0.014247003224222718	197109	126236805	126435456	1.001573637735841	33.587023795010786	0.9395154324564088	nan	nan	1.8715886958935861	
1.26953125	1.2702841320754716	4.48	8.192	12.0576	18.2784	46.0672	0.7050514403096714	0.010741399281955387	197529	134864477	134999601	1.001001924324372	30.94797596944606	0.5967651554648175	nan	nan	1.831613647901319	
1.34765625	1.3484057358490569	4.6464	10.2784	19.3792	35.6608	57.727999999999994	0.705244452710014	0.004996101440095283	198019	143513105	143656020	1.0009958324015078	17.351576944381158	0.5137740150873518	nan	nan	1.7259691442039145	
1.42578125	1.426876962264152	4.612352000000001	10.0096	16.5888	30.7456	46.5152	0.7436875247940284	0.000676555861698252	198035	151870085	152009512	1.0009180675707134	18.339990737933498	0.21676552783726832	nan	nan	1.719958270211362	
1.50390625	1.5041887452830178	4.7744	11.507200000000001	24.153599999999997	38.016	75.68409600000008	0.7607164462858674	0.000437078979673601	198007	160038585	160167872	1.000807848932181	10.288011273957085	0.10597576114212147	nan	nan	1.6689157398734755	
1.58203125	1.58223400943396	4.8128	13.606399999999999	27.6608	41.9456	124.26764800000005	0.791390536154447	0.0007241193848156083	198160	168491789	168624676	1.000788685316885	8.001325591328941	0.12824143763198015	nan	nan	1.6505704932002845	
1.66015625	1.6622056698113217	4.889600000000001	13.0688	26.7648	40.256	55.34719999999999	0.8266485703020982	0.0008172268930465876	198110	176930733	177056898	1.0007130756644749	7.057640436168813	0.05565063079971508	nan	nan	1.6411568866243698	
1.73828125	1.7384657169811304	4.8768	14.7712	31.769599999999997	48.076800000000006	140.66457599999978	0.8568654752880138	0.0014646713920813275	198559	185455392	185655497	1.0010789926237356	5.141060741652635	0.1544641326608539	nan	nan	1.6265239175154453	
1.81640625	1.8168030471698127	4.992	14.1184	35.5072	62.668800000000005	118.01599999999999	0.8905588905561084	0.0006003862340435438	198573	193844891	194045010	1.0010323666461758	3.9949035258435677	0.021177521746224125	nan	nan	1.6175910445621737	
1.89453125	1.8967519134615367	5.056	15.731200000000001	36.6656	55.859199999999994	118.10560000000001	0.9237935559733147	0.001169219084680616	195330	199028742	199225442	1.0009882994688275	2.5895715458443664	0.04405431351162447	nan	nan	1.6072311371224342	
1.97265625	1.974666219047622	4.672	7.2703999999999995	9.1392	11.456	66.15616000000014	0.976503096699569	0.0006198727039834279	196556	208616639	208732385	1.0005548263098996	6.542254107923682	0.037310220952161126	nan	nan	1.6319012236218657	
2.05078125	2.052500386792451	4.7616000000000005	6.144	7.424	8.6912	366.0771839999981	0.9993499312175221	6.816540201796117e-05	197483	218124680	218323705	1.0009124368686753	0.18181522336749006	0.033749253968769634	nan	nan	1.6067498911274514	
2.12890625	2.1294193113207553	2855.3343999999997	2859.4816	2861.4656	2863.5647999999997	2875.109504	0.9997081991279638	1.548579205328477e-07	35408	226227119	221060035	0.9771597497999345	0.0014374260739076382	0.00018665534340954977	nan	nan	1.5492660555783535	
2.20703125	2.2083989150943415	2862.784	2866.8927999999996	2868.7104	2870.6816	2876.861568	0.9997081341716144	8.247482824061149e-08	34920	234734046	220642130	0.9399664588919495	0.0012624331938468542	0.00015761105736820173	nan	nan	1.4938591122362486	
2.28515625	2.2851362735849077	2854.6432	2858.6112000000003	2860.48	2863.0656	2872.0896000000002	0.9997081463019116	9.742921071338324e-08	33585	242974807	221402523	0.9112159640484867	0.0014499239219709689	0.00024493578575620587	nan	nan	1.4436937179334164	
