#Offered Load (mpps)	avg actual mpps sent	RTT Median (us)	RTT 99th perc.	Avg. CPU Load (cycles)	CPU Load StdDev (cycles)	Interrupts (kHz)
x	load_avg	rtt0	rtt1	rtt2	rtt3	rtt4	cycles_avg	cycles_stderr	rtt_nsamples	nsent	nrecvd	frecvd	irq_avg	irq_stderr	itr_avg	itr_stderr
0	0	0	0	0	0	0	0.0007275720088370636	0.0004953839669655576	0	0	0	0	0.0007749537106428174	0.00033070104630408153	nan	nan
0.01953125	0.019533264150943384	5.056	9.996799999999999	10.3552	10.7136	14.110848000000045	0.09618059656709078	0.015984497128989424	197660	2075047	2273154	1.0954710905343348	21.798247934835402	0.08606710151893895	nan	nan
0.09765625	0.09765733018867925	4.416	7.3216	10.1504	12.9152	22.092799999999997	0.2612559664094646	0.008235422454198822	197528	10366276	10560774	1.0187625720171833	84.32653000628947	0.39070645410803256	nan	nan
0.17578125	0.17578427358490586	4.5696	9.472	13.427200000000001	16.768	23.078400000000002	0.2366793108255334	0.058858731067688526	197714	18677903	18870004	1.010284934020698	47.41391221589535	0.030871281093451414	nan	nan
0.25390625	0.25390902857142855	4.8384	14.3232	24.358400000000003	34.3936	44.8	0.17263690446032348	0.0005168905214151326	197079	26894081	27092700	1.0073852309733133	19.531364504880056	0.00025393708544668123	nan	nan
0.33203125	0.33209221698113206	5.081600000000001	19.5712	34.6368	49.1136	66.5728	0.21745817455362665	0.06909741090395198	197701	35282216	35467682	1.0052566426099767	12.258255126199636	0.04225574938515086	nan	nan
0.41015625	0.41023441509433983	5.4272	24.9344	45.4016	65.89439999999999	91.5968	0.2309479430796252	0.034466894165286824	197629	43568857	43768029	1.0045714304600646	8.047284439427466	0.0173126339641462	nan	nan
0.48828125	0.48827401886792476	5.2736	19.750400000000003	35.0592	52.4288	94.3232	0.2855770609561155	0.019720555339437305	197506	51828125	52027173	1.0038405402472113	9.871766850864944	0.08606320177244757	nan	nan
0.56640625	0.5666277075471696	5.1072	27.212799999999998	52.3776	74.0608	109.76000000000002	0.34187666023718827	0.044247810744961494	197398	60110829	60309769	1.0033095534250576	8.993371519641537	0.062488546584132144	nan	nan
0.64453125	0.6446569811320753	5.094399999999999	28.736	54.5664	72.0512	103.1168	0.391877778763717	0.06746769904787286	197655	68482348	68681546	1.0029087495656546	9.249791881861745	0.2466815315293239	nan	nan
0.72265625	0.7229542264150951	4.953600000000001	27.622400000000003	48.716800000000006	61.888	96.9984	0.3954479343742034	0.0224143002324623	197783	76852844	77021830	1.0021988255893302	10.174155646433796	0.1254192479825066	nan	nan
0.80078125	0.801266867924529	5.0688	33.715199999999996	69.1456	88.8064	110.5408	0.42209405030039016	0.010320350204644228	197805	85181645	85349511	1.0019706827685706	8.074988371658083	0.01909099940799013	nan	nan
0.87890625	0.8790159811320757	5.056	30.3744	61.7472	77.44	96.6528	0.46600836646642346	0.0183908023215194	197644	93407619	93606806	1.0021324491741943	8.481370296137378	0.017818731590744517	nan	nan
0.95703125	0.9571118584905666	5.178239999999999	33.024	70.2976	94.5408	112.9856	0.492992417802399	0.011651057739350159	197356	101525775	101724672	1.001959078864456	7.199676431003086	0.024291789626186274	nan	nan
1.03515625	1.0356144716981137	5.094399999999999	29.9136	63.0784	81.4464	96.8448	0.5266848690355422	0.006412454737295587	197695	110024270	110223508	1.0018108550049911	7.544847337278695	0.008566768674187732	nan	nan
1.11328125	1.1140587547169818	5.12	31.577599999999997	65.2416	91.3792	110.976	0.5718504331932078	0.021278300343704783	197686	118352079	118502006	1.0012667880553243	6.640054275330004	0.18454868948497127	nan	nan
1.19140625	1.1915863773584914	5.222911999999999	31.552	67.0336	96.9728	118.3488	0.6083936880143497	0.019561606323482143	197905	126729550	126928999	1.001573816051584	5.989080978673168	0.165997920046614	nan	nan
1.26953125	1.2703092641509437	5.248	33.2928	68.05760000000001	99.4816	123.5968	0.6548247905449762	0.035888974476442105	197535	134849783	134985895	1.001009360170791	5.538254287707989	0.32532192159403656	nan	nan
1.34765625	1.348406462264151	5.2736	32.896	67.69279999999999	98.4448	125.05599999999998	0.6774653149385014	0.012317490046578939	198078	143514159	143660534	1.001019934207328	5.0216590143520055	0.10570663675653105	nan	nan
1.42578125	1.426906433962264	5.2223999999999995	31.4496	63.884800000000006	92.7872	122.2656	0.7077333616313357	0.012993980697772403	197841	151710435	151909819	1.0013142405135151	4.7104903049517715	0.12691213347056704	nan	nan
1.50390625	1.5041767924528304	5.243904000000001	31.782400000000003	66.176	98.3424	128.448	0.7387322790539046	0.0032476242894925625	198169	160180968	160321937	1.0008800608571675	3.9747653407681542	0.030943690592106825	nan	nan
1.58203125	1.5822559245282999	5.3632	33.075199999999995	67.54560000000001	100.82560000000001	134.2464	0.7830887733658362	0.018082606378992425	198139	168457224	168587796	1.0007751047826836	3.468815211985236	0.1597058880749266	nan	nan
1.66015625	1.662202273584906	5.376	35.2	72.0	108.21119999999999	143.1552	0.8126146465447489	0.008459996591980738	197913	176771331	176896749	1.0007094928758555	2.7183162903305202	0.059180570641508994	nan	nan
1.73828125	1.7384978962264137	5.3888	35.0208	71.744	108.3904	145.28	0.8462773057065902	0.004528327131366348	198367	185292394	185422450	1.0007018960530025	2.217837519497863	0.027513216695311267	nan	nan
1.81640625	1.8167868476190479	5.312	33.2288	63.552	96.2048	139.264	0.8804831136712437	0.00032425373156754167	196566	192047542	192169739	1.0006362851548498	1.9235511917521355	0.0070397343530331224	nan	nan
