#Offered Load (mpps)	avg actual mpps sent	RTT Median (us)	RTT 99th perc.	Avg. CPU Load (cycles)	CPU Load StdDev (cycles)	Interrupts (kHz)
x	load_avg	rtt0	rtt1	rtt2	rtt3	rtt4	cycles_avg	cycles_stderr	rtt_nsamples	nsent	nrecvd	frecvd	irq_avg	irq_stderr	itr_avg	itr_stderr	cycles_per_pkt
0	0	0	0	0	0	0	0.0009408437787989021	0.0006096597875563759	0	0	0	0	0.0014374107846796145	0.0002780894158419118	nan	nan	0	
0.01953125	0.019533219047619035	4.8256000000000006	6.6432	6.8224	6.8991999999999996	30.294016000000013	0.05792058409242214	0.003195053323025876	196129	2059361	2256367	1.0956636548910075	30.036813906671778	0.024313181695971662	nan	nan	9.785275383388045	
0.09765625	0.0976573679245283	4.48	5.952	6.784	6.8864	8.8064	0.2545600085226985	0.00922431334713706	197758	10377715	10572972	1.0188150281637143	146.34163461342024	0.09539626929438105	nan	nan	8.601993336274557	
0.17578125	0.1757842641509436	4.1472	5.1328000000000005	5.8111999999999995	7.5776	15.744	0.47004009733688246	0.013421013857262196	197596	18665689	18857101	1.0102547513783178	209.98908716877077	3.2547411882145463	nan	nan	8.824068119543258	
0.25390625	0.25390835849056603	4.0448	4.6464	4.966399999999999	5.3248	6.272	0.8994506322932299	0.02377822397106772	197768	26985252	27174555	1.0070150540006075	378.41728328349	1.9880757223562142	nan	nan	11.689993603254859	
0.33203125	0.3320904999999999	4.0192	4.5696	4.9408	5.44	6.6048	0.9895467140764274	0.0026113067957070214	197794	35297282	35483062	1.0052632947772013	453.72250197325997	13.694455498703816	nan	nan	9.833175464074435	
0.41015625	0.410236886792453	4.0192	4.5568	4.9792	5.4656	6.6048	0.9966996693022216	0.00037013654233449965	197963	43647814	43830425	1.0041837375864917	456.7979487587167	21.807611361582627	nan	nan	8.017584509316338	
0.48828125	0.48827435849056633	4.0192	4.5568	4.992	5.4528	6.5664	0.9957956300275349	0.0003875367237358119	197801	51901037	52100382	1.0038408673799717	438.14390287394247	8.859640162554829	nan	nan	6.730080173059824	
0.56640625	0.5666267830188678	4.032	4.6208	5.056	5.5296	6.6176	0.9996803826838276	3.2353651231760914e-05	198015	60295558	60471356	1.0029156044961056	409.51746940896805	22.976262604868584	nan	nan	5.822077885694967	
0.64453125	0.6446563962264151	4.0704	4.6848	5.158399999999999	5.7216000000000005	6.937600000000001	0.9997108933632245	6.869158547641937e-06	197752	68506218	68673094	1.0024359248674333	354.07218796893403	13.687910318303002	nan	nan	5.117526123078991	
0.72265625	0.7229548773584914	4.0704	4.6592	5.1328000000000005	5.6704	6.937600000000001	0.9997267225415164	4.746218263783032e-06	198244	77011471	77180614	1.002196335140774	342.4834326714318	15.811840457800837	nan	nan	4.563352828382788	
0.80078125	0.8012673396226422	4.1088000000000005	4.7616000000000005	5.2352	5.8111999999999995	7.04	0.9997071064559276	3.8068559318341556e-05	198287	85368482	85568314	1.002340817071106	302.4037079808738	11.451422055886415	nan	nan	4.117269340914662	
0.87890625	0.8790330849056603	4.134399999999999	4.8	5.2736	5.849600000000001	7.0528	0.9997079379595668	1.1047617728902304e-06	198055	93565750	93720664	1.0016556699433286	282.34829243729627	17.440712889181757	nan	nan	3.7530284717561337	
0.95703125	0.9571025566037743	4.1728000000000005	4.8768	5.3888	5.977600000000001	7.244800000000001	0.9997290985605011	3.412175103562484e-05	198558	102117937	102318042	1.001959548007712	263.76760286045334	17.89120310703728	nan	nan	3.446972325469853	
1.03515625	1.035614594339623	4.1728000000000005	4.902399999999999	5.4144	6.0032	7.244800000000001	0.9997089615342928	1.7448996876127335e-06	198679	110558369	110758596	1.001811052404364	241.0528718790839	7.360707067247883	nan	nan	3.185586212375515	
